runname=input_Earth 
layers_found=[silicate,iron] 
phases_found=[pd,pv,ppv,liquid,solid] 
ir_comp_layer=[0,5678] 
ir_phase_layer=[0,1238,5295,10270] 
glob_variab=[[128000000000.0, 4.2, 0.99, 2.1, 2e-05, 3, 3516.34, 1.3347850228117743e-05, 0.7459369579289227, 215373834693.77478, 219528819215.5574, 1, 1, 0, 1265.0],[169650000000.0, 4, 1, 1.4, 2e-05, 3, 3868.6235, 6.639267439902973e-06, 0.5977350803215429, 573403318632.4905, 578673568035.1329, 1, 1, 0, 1265.0],[324500000000.0, 3.3, 1.48, 1.4, 2e-05, 2.1, 4260.0, 8.114115062319741e-06, 0.9714644807972537, 767621201686.7317, 781843694922.8562, 1, 1, 0, 1265.0],[145520000000.0, 4.125, 2.1664000000000003, 0.644, 4e-05, 3, 6129.200000000001, 5.071781924046409e-06, 1.3906064461387704, 1185539027717.2808, 1231726587225.441, 1, 1, 0, 840.0],[207090000000.0, 5.64, 1.6, 0.92, 4e-05, 3, 7399.7484, 7.186760549386661e-06, 0.9451304579076872, 2206278268426.024, 2290378904830.522, 10.760757003919487, 3495833.023854817, 1, 840.0]] 
i_g_change=11453 
i,r,rho,m,g,P,T,alpha,gamma,T_melt_Fe,Kt,Ks 
0,6312534.501418,3516.803366,5.971316e+24,10.001243,1.754683e+07,1725.225008,1.999210e-05,0.989726,nan,1.324427e+11,1.280709e+11 
1,6312038.428597,3517.266611,5.970443e+24,10.001351,3.499615e+07,1725.449894,1.998420e-05,0.989452,nan,1.325136e+11,1.281417e+11 
2,6311542.355776,3517.729735,5.969569e+24,10.001460,5.244795e+07,1725.674659,1.997631e-05,0.989179,nan,1.325845e+11,1.282125e+11 
3,6311046.282955,3518.192739,5.968696e+24,10.001569,6.990224e+07,1725.899303,1.996842e-05,0.988905,nan,1.326554e+11,1.282834e+11 
4,6310550.210134,3518.655622,5.967822e+24,10.001677,8.735902e+07,1726.123827,1.996054e-05,0.988632,nan,1.327263e+11,1.283542e+11 
5,6310054.137313,3519.118384,5.966949e+24,10.001786,1.048183e+08,1726.348229,1.995267e-05,0.988359,nan,1.327972e+11,1.284251e+11 
6,6309558.064492,3519.581027,5.966075e+24,10.001894,1.222800e+08,1726.572511,1.994480e-05,0.988087,nan,1.328681e+11,1.284959e+11 
7,6309061.991671,3520.043549,5.965202e+24,10.002002,1.397443e+08,1726.796673,1.993694e-05,0.987814,nan,1.329390e+11,1.285668e+11 
8,6308565.918850,3520.505951,5.964328e+24,10.002111,1.572110e+08,1727.020714,1.992908e-05,0.987541,nan,1.330099e+11,1.286376e+11 
9,6308069.846029,3520.968233,5.963455e+24,10.002219,1.746802e+08,1727.244635,1.992123e-05,0.987269,nan,1.330807e+11,1.287084e+11 
10,6307573.773208,3521.430395,5.962582e+24,10.002327,1.921519e+08,1727.468436,1.991339e-05,0.986997,nan,1.331516e+11,1.287793e+11 
11,6307077.700387,3521.892438,5.961708e+24,10.002436,2.096260e+08,1727.692116,1.990556e-05,0.986725,nan,1.332225e+11,1.288501e+11 
12,6306581.627566,3522.354361,5.960835e+24,10.002544,2.271027e+08,1727.915677,1.989773e-05,0.986453,nan,1.332934e+11,1.289209e+11 
13,6306085.554745,3522.816164,5.959962e+24,10.002652,2.445818e+08,1728.139119,1.988990e-05,0.986182,nan,1.333642e+11,1.289917e+11 
14,6305589.481924,3523.277849,5.959088e+24,10.002760,2.620634e+08,1728.362440,1.988208e-05,0.985911,nan,1.334351e+11,1.290626e+11 
15,6305093.409103,3523.739414,5.958215e+24,10.002868,2.795475e+08,1728.585642,1.987427e-05,0.985639,nan,1.335060e+11,1.291334e+11 
16,6304597.336282,3524.200859,5.957342e+24,10.002976,2.970341e+08,1728.808725,1.986647e-05,0.985368,nan,1.335768e+11,1.292042e+11 
17,6304101.263461,3524.662186,5.956469e+24,10.003084,3.145231e+08,1729.031688,1.985867e-05,0.985098,nan,1.336477e+11,1.292750e+11 
18,6303605.190640,3525.123395,5.955595e+24,10.003191,3.320146e+08,1729.254533,1.985087e-05,0.984827,nan,1.337185e+11,1.293458e+11 
19,6303109.117819,3525.584484,5.954722e+24,10.003299,3.495086e+08,1729.477258,1.984309e-05,0.984556,nan,1.337894e+11,1.294167e+11 
20,6302613.044998,3526.045455,5.953849e+24,10.003407,3.670051e+08,1729.699864,1.983530e-05,0.984286,nan,1.338603e+11,1.294875e+11 
21,6302116.972177,3526.506307,5.952976e+24,10.003515,3.845041e+08,1729.922352,1.982753e-05,0.984016,nan,1.339311e+11,1.295583e+11 
22,6301620.899356,3526.967041,5.952103e+24,10.003622,4.020055e+08,1730.144721,1.981976e-05,0.983746,nan,1.340020e+11,1.296291e+11 
23,6301124.826535,3527.427656,5.951230e+24,10.003730,4.195094e+08,1730.366972,1.981200e-05,0.983476,nan,1.340728e+11,1.296999e+11 
24,6300628.753714,3527.888154,5.950357e+24,10.003837,4.370158e+08,1730.589104,1.980424e-05,0.983207,nan,1.341436e+11,1.297707e+11 
25,6300132.680893,3528.348533,5.949484e+24,10.003945,4.545246e+08,1730.811117,1.979649e-05,0.982937,nan,1.342145e+11,1.298415e+11 
26,6299636.608072,3528.808795,5.948611e+24,10.004052,4.720359e+08,1731.033013,1.978874e-05,0.982668,nan,1.342853e+11,1.299123e+11 
27,6299140.535251,3529.268939,5.947738e+24,10.004160,4.895497e+08,1731.254791,1.978100e-05,0.982399,nan,1.343562e+11,1.299831e+11 
28,6298644.462430,3529.728965,5.946865e+24,10.004267,5.070660e+08,1731.476450,1.977327e-05,0.982130,nan,1.344270e+11,1.300539e+11 
29,6298148.389609,3530.188873,5.945992e+24,10.004374,5.245847e+08,1731.697992,1.976554e-05,0.981862,nan,1.344978e+11,1.301247e+11 
30,6297652.316788,3530.648664,5.945119e+24,10.004481,5.421059e+08,1731.919417,1.975782e-05,0.981593,nan,1.345686e+11,1.301955e+11 
