runname=input_Earth1.6_cmf0.05 
layers_found=[silicate,iron] 
phases_found=[pd,pv,ppv,liquid] 
ir_comp_layer=[0,9267] 
ir_phase_layer=[0,914,4228] 
glob_variab=[[128000000000.0, 4.2, 0.99, 2.1, 2e-05, 3, 3516.34, 1.3504217144418177e-05, 0.7520431961981274, 212401581231.49298, 217233404583.54584, 1, 1, 0, 1265.0],[169650000000.0, 4, 1, 1.4, 2e-05, 3, 3868.6235, 6.752579005160238e-06, 0.6024742873203428, 564306625972.1136, 570449915902.4921, 1, 1, 0, 1265.0],[324500000000.0, 3.3, 1.48, 1.4, 2e-05, 2.1, 4260.0, 5.347798558293684e-06, 0.7997042474303777, 1074018368626.9144, 1088191890205.4612, 1, 1, 0, 1265.0],[145520000000.0, 4.125, 2.1664000000000003, 0.644, 4e-05, 3, 6129.200000000001, 3.818607950623138e-06, 1.3084146286619651, 1482398616322.5234, 1527328601301.2651, 7.4366550894550985, 2070246.6287796963, 1, 840.0]] 
i_g_change=11453 
i,r,rho,m,g,P,T,alpha,gamma,T_melt_Fe,Kt,Ks 
0,7618773.396411,3516.951044,9.553968e+24,10.985127,2.322986e+07,2000.344007,1.998958e-05,0.989639,nan,1.331623e+11,1.280934e+11 
1,7618174.656067,3517.561870,9.552432e+24,10.985087,4.636365e+07,2000.687765,1.997917e-05,0.989278,nan,1.332558e+11,1.281869e+11 
2,7617575.915723,3518.172477,9.550896e+24,10.985048,6.950138e+07,2001.031274,1.996876e-05,0.988917,nan,1.333493e+11,1.282803e+11 
3,7616977.175379,3518.782865,9.549360e+24,10.985008,9.264304e+07,2001.374534,1.995837e-05,0.988557,nan,1.334428e+11,1.283737e+11 
4,7616378.435035,3519.393035,9.547824e+24,10.984968,1.157886e+08,2001.717546,1.994800e-05,0.988197,nan,1.335363e+11,1.284671e+11 
5,7615779.694691,3520.002988,9.546288e+24,10.984927,1.389381e+08,2002.060310,1.993763e-05,0.987838,nan,1.336298e+11,1.285605e+11 
6,7615180.954347,3520.612723,9.544752e+24,10.984887,1.620916e+08,2002.402826,1.992727e-05,0.987479,nan,1.337233e+11,1.286539e+11 
7,7614582.214003,3521.222240,9.543216e+24,10.984846,1.852489e+08,2002.745096,1.991692e-05,0.987120,nan,1.338167e+11,1.287473e+11 
8,7613983.473659,3521.831541,9.541679e+24,10.984805,2.084102e+08,2003.087118,1.990659e-05,0.986761,nan,1.339102e+11,1.288407e+11 
9,7613384.733315,3522.440625,9.540143e+24,10.984764,2.315754e+08,2003.428893,1.989626e-05,0.986403,nan,1.340037e+11,1.289341e+11 
10,7612785.992971,3523.049492,9.538607e+24,10.984723,2.547446e+08,2003.770423,1.988595e-05,0.986045,nan,1.340971e+11,1.290275e+11 
11,7612187.252627,3523.658144,9.537071e+24,10.984682,2.779176e+08,2004.111706,1.987565e-05,0.985687,nan,1.341906e+11,1.291209e+11 
12,7611588.512283,3524.266579,9.535535e+24,10.984640,3.010946e+08,2004.452744,1.986535e-05,0.985330,nan,1.342840e+11,1.292143e+11 
13,7610989.771939,3524.874799,9.533998e+24,10.984599,3.242754e+08,2004.793536,1.985507e-05,0.984973,nan,1.343775e+11,1.293077e+11 
14,7610391.031595,3525.482804,9.532462e+24,10.984557,3.474602e+08,2005.134084,1.984480e-05,0.984616,nan,1.344709e+11,1.294010e+11 
15,7609792.291251,3526.090593,9.530926e+24,10.984515,3.706489e+08,2005.474387,1.983454e-05,0.984260,nan,1.345643e+11,1.294944e+11 
16,7609193.550907,3526.698168,9.529389e+24,10.984473,3.938415e+08,2005.814446,1.982429e-05,0.983904,nan,1.346577e+11,1.295878e+11 
17,7608594.810563,3527.305528,9.527853e+24,10.984430,4.170380e+08,2006.154261,1.981405e-05,0.983548,nan,1.347511e+11,1.296811e+11 
18,7607996.070219,3527.912674,9.526316e+24,10.984388,4.402384e+08,2006.493832,1.980383e-05,0.983193,nan,1.348446e+11,1.297745e+11 
19,7607397.329875,3528.519606,9.524780e+24,10.984345,4.634428e+08,2006.833160,1.979361e-05,0.982837,nan,1.349380e+11,1.298678e+11 
20,7606798.589531,3529.126325,9.523244e+24,10.984302,4.866510e+08,2007.172245,1.978340e-05,0.982483,nan,1.350314e+11,1.299612e+11 
21,7606199.849187,3529.732830,9.521707e+24,10.984259,5.098631e+08,2007.511087,1.977321e-05,0.982128,nan,1.351247e+11,1.300545e+11 
22,7605601.108843,3530.339122,9.520171e+24,10.984216,5.330791e+08,2007.849687,1.976302e-05,0.981774,nan,1.352181e+11,1.301478e+11 
23,7605002.368499,3530.945201,9.518634e+24,10.984172,5.562990e+08,2008.188045,1.975284e-05,0.981420,nan,1.353115e+11,1.302412e+11 
24,7604403.628155,3531.551067,9.517098e+24,10.984129,5.795228e+08,2008.526162,1.974268e-05,0.981067,nan,1.354049e+11,1.303345e+11 
25,7603804.887811,3532.156722,9.515561e+24,10.984085,6.027505e+08,2008.864037,1.973253e-05,0.980713,nan,1.354983e+11,1.304278e+11 
26,7603206.147467,3532.762164,9.514025e+24,10.984041,6.259821e+08,2009.201671,1.972238e-05,0.980360,nan,1.355916e+11,1.305211e+11 
27,7602607.407123,3533.367394,9.512488e+24,10.983997,6.492175e+08,2009.539065,1.971225e-05,0.980008,nan,1.356850e+11,1.306144e+11 
28,7602008.666779,3533.972413,9.510951e+24,10.983952,6.724569e+08,2009.876218,1.970213e-05,0.979655,nan,1.357783e+11,1.307077e+11 
29,7601409.926435,3534.577220,9.509415e+24,10.983908,6.957001e+08,2010.213131,1.969201e-05,0.979304,nan,1.358717e+11,1.308011e+11 
30,7600811.186091,3535.181817,9.507878e+24,10.983863,7.189472e+08,2010.549804,1.968191e-05,0.978952,nan,1.359650e+11,1.308944e+11 
31,7600212.445747,3535.786203,9.506341e+24,10.983818,7.421982e+08,2010.886239,1.967182e-05,0.978600,nan,1.360583e+11,1.309876e+11 
32,7599613.705403,3536.390378,9.504805e+24,10.983773,7.654531e+08,2011.222434,1.966174e-05,0.978249,nan,1.361517e+11,1.310809e+11 
33,7599014.965060,3536.994344,9.503268e+24,10.983728,7.887119e+08,2011.558390,1.965167e-05,0.977899,nan,1.362450e+11,1.311742e+11 
34,7598416.224716,3537.598099,9.501731e+24,10.983683,8.119745e+08,2011.894108,1.964161e-05,0.977548,nan,1.363383e+11,1.312675e+11 
35,7597817.484372,3538.201645,9.500194e+24,10.983637,8.352410e+08,2012.229588,1.963156e-05,0.977198,nan,1.364316e+11,1.313608e+11 
36,7597218.744028,3538.804981,9.498658e+24,10.983592,8.585114e+08,2012.564829,1.962152e-05,0.976848,nan,1.365249e+11,1.314541e+11 
37,7596620.003684,3539.408108,9.497121e+24,10.983546,8.817856e+08,2012.899834,1.961149e-05,0.976499,nan,1.366182e+11,1.315473e+11 
38,7596021.263340,3540.011027,9.495584e+24,10.983500,9.050637e+08,2013.234601,1.960147e-05,0.976149,nan,1.367115e+11,1.316406e+11 
39,7595422.522996,3540.613736,9.494047e+24,10.983454,9.283457e+08,2013.569132,1.959147e-05,0.975801,nan,1.368048e+11,1.317339e+11 
40,7594823.782652,3541.216238,9.492510e+24,10.983407,9.516316e+08,2013.903426,1.958147e-05,0.975452,nan,1.368981e+11,1.318271e+11 
41,7594225.042308,3541.818531,9.490973e+24,10.983361,9.749213e+08,2014.237484,1.957148e-05,0.975104,nan,1.369914e+11,1.319204e+11 
42,7593626.301964,3542.420617,9.489437e+24,10.983314,9.982149e+08,2014.571306,1.956150e-05,0.974756,nan,1.370847e+11,1.320136e+11 
43,7593027.561620,3543.022495,9.487900e+24,10.983267,1.021512e+09,2014.904892,1.955153e-05,0.974408,nan,1.371779e+11,1.321069e+11 
