a1,a2,a3,b1,b2,b3
-0.148533,0.514800,-0.616035,4.699707,-16.373244,19.381190
-0.147818,0.519135,-0.620472,4.674462,-16.520012,19.532145
-0.148902,0.518696,-0.618912,4.710726,-16.503002,19.478874
-0.149418,0.511326,-0.612220,4.729234,-16.252402,19.250131
-0.148403,0.514379,-0.615289,4.693987,-16.360699,19.358116
-0.148224,0.513712,-0.615203,4.688508,-16.335845,19.353537
-0.148765,0.516569,-0.617296,4.706653,-16.430938,19.422742
-0.147491,0.518333,-0.618912,4.663772,-16.496113,19.481130
-0.148171,0.516848,-0.617575,4.686041,-16.442099,19.434148
-0.148723,0.515034,-0.614784,4.705762,-16.382501,19.339700
-0.148770,0.513832,-0.615087,4.706769,-16.338520,19.348301
-0.148199,0.516180,-0.616735,4.687442,-16.417481,19.403342
-0.148083,0.515319,-0.615989,4.684052,-16.393214,19.381452
-0.147006,0.521443,-0.623173,4.646120,-16.598854,19.625078
-0.147541,0.516283,-0.618397,4.665011,-16.425600,19.464213
-0.148495,0.514028,-0.615186,4.697269,-16.346137,19.352712
-0.148133,0.519328,-0.618546,4.685748,-16.529698,19.468236
-0.148807,0.515180,-0.616392,4.707921,-16.383686,19.392457
-0.147877,0.516165,-0.617262,4.677221,-16.422067,19.424226
-0.148464,0.510980,-0.612104,4.696638,-16.243172,19.248094
-0.148770,0.516364,-0.616073,4.706856,-16.426783,19.383108
-0.147576,0.516783,-0.618405,4.666231,-16.440181,19.461933
-0.148923,0.517047,-0.616645,4.712495,-16.446986,19.399421
-0.148979,0.518581,-0.617602,4.714844,-16.504383,19.435732
-0.148034,0.512976,-0.615067,4.682146,-16.309666,19.347896
-0.148362,0.516312,-0.618240,4.693032,-16.421206,19.454079
-0.148074,0.517755,-0.618730,4.683293,-16.475179,19.473952
-0.147845,0.517046,-0.618370,4.675542,-16.447092,19.459088
-0.147467,0.517593,-0.620021,4.661894,-16.464453,19.515491
-0.147858,0.519478,-0.619560,4.675994,-16.531621,19.500151
-0.147289,0.516770,-0.618579,4.656485,-16.439145,19.467247
-0.149099,0.516503,-0.617751,4.718249,-16.426410,19.436356
-0.147882,0.516150,-0.617362,4.677601,-16.420390,19.427060
-0.148583,0.516039,-0.616787,4.700536,-16.415130,19.407059
-0.149121,0.515644,-0.616153,4.718591,-16.399020,19.384387
-0.148444,0.515255,-0.616118,4.695964,-16.387477,19.383430
-0.148565,0.513055,-0.613961,4.699493,-16.315248,19.312884
-0.147838,0.513708,-0.616420,4.674931,-16.334091,19.394348
-0.148503,0.516937,-0.617895,4.697749,-16.443360,19.443039
-0.147401,0.517052,-0.617946,4.660275,-16.450331,19.447207
-0.148084,0.516353,-0.617272,4.683183,-16.425618,19.424069
-0.147200,0.518426,-0.619122,4.653434,-16.497578,19.487870
-0.148511,0.513748,-0.614828,4.698232,-16.338995,19.341441
-0.148182,0.515152,-0.616029,4.686845,-16.384255,19.380674
-0.148001,0.513550,-0.614813,4.681321,-16.333626,19.341930
-0.148004,0.518508,-0.619669,4.680386,-16.497671,19.504803
-0.147637,0.516456,-0.618343,4.668301,-16.431037,19.461884
-0.148501,0.515443,-0.615645,4.697583,-16.394986,19.368168
-0.148696,0.519789,-0.618149,4.705130,-16.547759,19.456232
-0.148526,0.514897,-0.616567,4.698358,-16.373847,19.398352
-0.148464,0.518186,-0.618756,4.696738,-16.487662,19.472845
-0.148335,0.514978,-0.615948,4.692184,-16.378721,19.378312
-0.148465,0.516381,-0.616544,4.696161,-16.427245,19.399619
-0.147031,0.518653,-0.620669,4.647877,-16.503385,19.538364
-0.148672,0.517363,-0.617044,4.703841,-16.458981,19.414200
-0.148426,0.518496,-0.618874,4.695714,-16.499687,19.478049
-0.147681,0.511815,-0.614906,4.670059,-16.270407,19.343051
-0.148596,0.517218,-0.618314,4.701186,-16.453378,19.457263
-0.147946,0.517781,-0.619296,4.678767,-16.473936,19.492034
-0.147684,0.516668,-0.618010,4.669934,-16.433755,19.446684
-0.147877,0.515722,-0.617516,4.676681,-16.404201,19.431846
-0.147864,0.519670,-0.619519,4.676238,-16.538467,19.498831
-0.146986,0.518374,-0.620747,4.646164,-16.492272,19.539763
-0.148819,0.515549,-0.616729,4.708364,-16.396423,19.403911
-0.148273,0.513454,-0.614059,4.690735,-16.330910,19.316052
-0.148372,0.513428,-0.614195,4.693895,-16.330055,19.321520
-0.148798,0.514184,-0.614676,4.708158,-16.353112,19.335916
-0.149188,0.517410,-0.617233,4.721340,-16.459276,19.419838
-0.147860,0.515424,-0.616839,4.675718,-16.395257,19.409981
-0.147798,0.513540,-0.616476,4.673379,-16.328057,19.396230
-0.148846,0.519270,-0.619651,4.709001,-16.519327,19.500575
-0.147108,0.518082,-0.619018,4.650185,-16.486029,19.484366
-0.148763,0.514701,-0.614820,4.705943,-16.369653,19.341501
-0.148195,0.516925,-0.617448,4.687160,-16.444785,19.429728
-0.148529,0.512293,-0.613643,4.698802,-16.290974,19.302294
-0.148777,0.513994,-0.614472,4.707251,-16.346099,19.328619
-0.147320,0.511881,-0.614024,4.658249,-16.279727,19.317471
-0.148094,0.518187,-0.619255,4.683338,-16.487900,19.491985
-0.148057,0.517206,-0.618819,4.682492,-16.455429,19.477171
-0.149079,0.516239,-0.615336,4.717295,-16.421210,19.356830
-0.148256,0.519074,-0.618870,4.689846,-16.520274,19.478617
-0.147513,0.513351,-0.616423,4.664546,-16.324001,19.395068
-0.148196,0.518440,-0.619742,4.687756,-16.496205,19.506347
-0.148524,0.516163,-0.617040,4.698130,-16.414773,19.412739
-0.148399,0.519020,-0.619156,4.693790,-16.515222,19.487228
-0.147200,0.518090,-0.620051,4.653641,-16.484775,19.517890
-0.149092,0.516834,-0.616329,4.718003,-16.439432,19.389130
-0.148440,0.518162,-0.618582,4.696218,-16.488387,19.468079
-0.148173,0.514586,-0.616235,4.686898,-16.363597,19.386848
-0.149586,0.514529,-0.614480,4.734905,-16.360453,19.325735
-0.147790,0.517919,-0.619704,4.673521,-16.478797,19.506100
-0.147924,0.514692,-0.615778,4.678638,-16.369619,19.372563
-0.147737,0.514004,-0.615529,4.671720,-16.346042,19.364184
-0.147844,0.519249,-0.619367,4.675544,-16.524312,19.494049
-0.147183,0.519274,-0.621243,4.652759,-16.522118,19.556028
-0.148503,0.516004,-0.616999,4.697877,-16.413029,19.413503
-0.148047,0.513409,-0.614681,4.682953,-16.329168,19.337436
-0.148621,0.515801,-0.616144,4.702033,-16.408552,19.386259
-0.149394,0.512536,-0.612253,4.728327,-16.296911,19.253434
-0.148729,0.517649,-0.618248,4.705686,-16.467522,19.454680
-0.147879,0.515509,-0.616551,4.676300,-16.398632,19.400630
-0.147899,0.512060,-0.614564,4.677185,-16.278869,19.331483
-0.148657,0.521707,-0.622215,4.702523,-16.600457,19.586351
-0.147041,0.517896,-0.619448,4.648151,-16.479471,19.498578
-0.148962,0.512951,-0.612971,4.713306,-16.311351,19.278976
-0.148552,0.515784,-0.616176,4.699274,-16.405058,19.385567
-0.148035,0.516930,-0.618027,4.681942,-16.444952,19.448713
-0.148950,0.512585,-0.613680,4.713239,-16.298460,19.302250
-0.147584,0.512516,-0.614316,4.667284,-16.300402,19.326468
-0.148096,0.518368,-0.619309,4.683707,-16.493022,19.492548
-0.148743,0.518028,-0.618994,4.705489,-16.482745,19.482671
-0.148733,0.515722,-0.614863,4.705885,-16.404207,19.340864
-0.147898,0.519659,-0.619821,4.677818,-16.541546,19.511862
-0.147917,0.513836,-0.615751,4.678090,-16.340187,19.371708
-0.148299,0.516053,-0.617199,4.691438,-16.416015,19.420608
-0.147521,0.520700,-0.621843,4.664168,-16.568772,19.575565
-0.148121,0.521564,-0.621407,4.684327,-16.602252,19.564247
-0.147213,0.517195,-0.619947,4.653711,-16.453416,19.514482
-0.148576,0.514887,-0.615242,4.700394,-16.374099,19.353229
-0.149082,0.519002,-0.618785,4.717460,-16.513631,19.473011
-0.147822,0.515198,-0.617008,4.674774,-16.384870,19.413756
-0.148369,0.516021,-0.616866,4.693760,-16.413783,19.408589
-0.148241,0.519316,-0.620220,4.688954,-16.526981,19.523497
-0.147836,0.516292,-0.617173,4.675535,-16.422188,19.418637
-0.147596,0.511877,-0.614387,4.667032,-16.274105,19.325808
-0.148243,0.517759,-0.617592,4.688855,-16.472761,19.433372
-0.147721,0.521290,-0.622614,4.670944,-16.589896,19.602481
-0.148832,0.515874,-0.616310,4.709211,-16.409960,19.391046
-0.147658,0.517131,-0.618087,4.669352,-16.454575,19.452691
-0.148188,0.518761,-0.619076,4.687346,-16.508406,19.485310
-0.149240,0.512457,-0.612312,4.723265,-16.295674,19.256347
-0.148169,0.519479,-0.620202,4.686702,-16.529010,19.520239
-0.147775,0.518036,-0.618553,4.672854,-16.486130,19.469919
-0.147506,0.512833,-0.615515,4.663564,-16.304579,19.363438
-0.148514,0.521011,-0.621670,4.697729,-16.578218,19.568846
-0.147306,0.518078,-0.619333,4.657339,-16.486433,19.494991
-0.149042,0.514823,-0.614735,4.716001,-16.373547,19.337558
-0.148359,0.517487,-0.618104,4.692826,-16.462252,19.450127
-0.147544,0.518539,-0.620507,4.665131,-16.496847,19.530924
-0.148308,0.515939,-0.617233,4.691410,-16.410678,19.421151
-0.148317,0.510821,-0.611884,4.692210,-16.239961,19.241730
-0.148432,0.517099,-0.617044,4.695377,-16.451100,19.416027
-0.148519,0.515887,-0.616731,4.698058,-16.410060,19.405811
-0.148811,0.516655,-0.615746,4.708561,-16.434911,19.370010
-0.147992,0.518183,-0.618820,4.680841,-16.490015,19.477177
-0.147891,0.512827,-0.615251,4.677435,-16.305324,19.354061
